iter	RMSE
0	77356.50001
1	75518.37967
2	73572.89565
3	71962.26963
4	70326.26891
5	68819.13004
6	67381.0042
7	66170.85275
8	64822.75372
9	63457.33213
10	62041.45188
11	60747.63046
12	59451.30362
13	58115.49393
14	56848.32531
15	55703.69144
16	54521.88257
17	53406.8405
18	52420.08605
19	51454.90647
20	50518.95721
21	49663.06774
22	48646.12021
23	47858.95765
24	47089.23919
25	46239.63189
26	45506.04242
27	44717.59623
28	44005.92023
29	43279.46968
30	42641.54805
31	42097.15871
32	41436.12337
33	40814.61789
34	40135.66083
35	39475.11029
36	39000.21238
37	38398.66689
38	37839.17404
39	37370.57662
40	36914.42701
41	36405.23558
42	35964.98561
43	35576.9081
44	35204.44979
45	34762.91726
46	34328.0796
47	33851.25534
48	33483.00687
49	33136.15695
50	32759.87828
51	32468.12946
52	32221.42211
53	31880.64028
54	31556.54555
55	31266.63783
56	30964.52229
57	30653.32638
58	30360.13999
59	30053.80442
60	29776.56323
61	29509.73925
62	29193.30534
63	28977.93901
64	28715.0582
65	28476.62377
66	28203.41092
67	27999.17702
68	27792.74919
69	27623.50411
70	27403.50275
71	27190.55722
72	27007.33517
73	26824.25175
74	26603.87345
75	26440.58687
76	26295.61042
77	26123.32321
78	25983.03421
79	25828.37695
80	25645.99534
81	25531.16868
82	25357.9655
83	25178.20305
84	24993.55691
85	24822.62429
86	24664.62724
87	24510.41817
88	24377.20934
89	24253.31014
90	24099.13448
91	23989.93546
92	23858.4661
93	23721.54481
94	23587.04705
95	23495.97087
96	23375.33053
97	23249.08086
98	23115.50405
99	23042.4686
100	22947.0469
101	22821.5565
102	22716.85814
103	22661.01723
104	22565.513
105	22470.55635
106	22366.54091
107	22285.30048
108	22207.71041
109	22123.13733
110	22020.72234
111	21942.713
112	21859.86215
113	21765.01101
114	21689.81087
115	21601.31154
116	21517.09961
117	21468.76638
118	21377.7232
119	21323.96089
120	21244.28385
121	21154.30272
122	21072.56416
123	21001.89829
124	20937.95911
125	20870.10555
126	20764.65026
127	20705.74179
128	20631.7656
129	20561.26128
130	20509.31307
131	20457.81068
132	20395.0973
133	20321.24484
134	20248.10566
135	20172.20365
136	20092.81933
137	20019.98742
138	19948.68822
139	19901.60233
140	19839.93243
141	19756.65322
142	19697.88293
143	19642.99893
144	19583.97394
145	19538.05396
146	19493.52217
147	19439.48775
148	19366.48317
149	19295.30394
150	19251.47989
151	19173.59919
152	19131.42151
153	19065.07981
154	19001.34551
155	18938.60718
156	18902.61126
157	18847.65812
158	18799.70298
159	18729.25789
160	18676.07363
161	18619.72018
162	18577.21724
163	18514.94674
164	18471.77716
165	18421.19345
166	18361.41727
167	18318.62269
168	18260.41805
169	18234.09736
170	18175.53109
171	18132.79243
172	18086.00123
173	18036.35019
174	17976.5745
175	17925.39221
176	17883.65293
177	17824.88178
178	17791.43234
179	17747.16264
180	17714.75916
181	17680.41205
182	17660.19549
183	17613.94523
184	17569.96525
185	17525.35284
186	17470.47368
187	17432.21551
188	17370.32105
189	17324.81798
190	17292.94711
191	17242.75645
192	17187.93215
193	17145.67134
194	17113.70506
195	17058.42329
196	17019.46038
197	16985.6679
198	16943.77918
199	16895.36386
200	16861.63577
201	16826.50972
202	16783.16999
203	16742.31168
204	16704.00622
205	16680.10395
206	16671.00707
207	16630.4914
208	16590.53943
209	16552.29543
210	16524.83701
211	16491.94703
212	16479.17661
213	16433.81513
214	16416.97081
215	16394.29036
216	16332.93077
217	16290.30435
218	16279.58465
219	16239.32386
220	16192.63648
221	16186.80093
222	16157.26886
223	16092.01296
224	16054.76779
225	16045.23068
226	16009.07776
227	15969.60348
228	15940.37319
229	15927.13559
230	15894.92829
231	15857.3414
232	15826.439
233	15811.89029
234	15797.00007
235	15753.71771
236	15737.44452
237	15706.70218
238	15671.31804
239	15664.70981
240	15651.60117
241	15644.23799
242	15636.71617
243	15632.38716
244	15586.74885
245	15558.11093
246	15515.65481
247	15510.8932
248	15505.06178
249	15495.94765
250	15460.26273
251	15436.32333
252	15432.32618
253	15409.02094
254	15374.09868
255	15345.95816
256	15338.98025
257	15317.83041
258	15309.01461
259	15274.30361
260	15233.48396
261	15230.82068
262	15219.36511
263	15170.58262
264	15137.97377
265	15105.42991
266	15076.07926
267	15070.14132
268	15067.14705
269	15061.01932
270	15030.93684
271	14998.56507
272	14974.11427
273	14938.96654
274	14914.24281
275	14911.48917
276	14874.04103
277	14866.87933
278	14837.03151
279	14810.01787
280	14771.72599
281	14764.70704
282	14739.19895
283	14733.38849
284	14730.63782
285	14696.49454
286	14670.20574
287	14646.62846
288	14608.24377
289	14583.31154
290	14576.88633
291	14548.53512
292	14513.93873
293	14487.37325
294	14454.78045
295	14412.05304
296	14406.30486
297	14372.70774
