iter	Passed	Remaining
0	78	78564
1	80	40355
2	82	27562
3	85	21178
4	87	17323
5	89	14763
6	91	12932
7	93	11581
8	95	10510
9	97	9656
10	99	8952
11	101	8366
12	103	7888
13	105	7463
14	107	7091
15	110	6769
16	112	6502
17	114	6252
18	116	6029
19	118	5825
20	121	5642
21	123	5476
22	125	5319
23	127	5178
24	129	5044
25	131	4923
26	133	4825
27	135	4719
28	138	4621
29	140	4527
30	142	4455
31	144	4375
32	146	4298
33	148	4226
34	150	4158
35	153	4100
36	155	4038
37	157	3978
38	159	3922
39	161	3872
40	163	3824
41	165	3776
42	167	3730
43	169	3686
44	171	3648
45	173	3607
46	176	3568
47	178	3532
48	180	3499
49	182	3464
50	184	3432
51	186	3399
52	188	3368
53	190	3345
54	195	3361
55	200	3388
56	204	3390
57	212	3448
58	215	3432
59	217	3406
60	220	3394
61	222	3370
62	224	3346
63	227	3320
64	229	3297
65	231	3273
66	233	3248
67	235	3226
68	237	3207
69	239	3186
70	242	3168
71	244	3147
72	246	3126
73	248	3111
74	250	3091
75	252	3071
76	254	3052
77	256	3035
78	258	3018
79	261	3001
80	263	2984
81	265	2967
82	267	2956
83	269	2939
84	271	2923
85	273	2908
86	275	2895
87	277	2881
88	280	2866
89	281	2851
90	284	2837
91	286	2825
92	288	2812
93	290	2800
94	292	2787
95	294	2774
96	296	2762
97	298	2750
98	300	2737
99	302	2726
100	305	2716
101	307	2705
102	309	2694
103	311	2683
104	313	2671
105	315	2662
106	317	2651
107	319	2640
108	321	2629
109	324	2622
110	326	2614
111	328	2603
112	330	2594
113	332	2584
114	334	2577
115	337	2569
116	339	2560
117	341	2551
118	343	2543
119	345	2534
120	347	2525
121	349	2516
122	351	2507
123	354	2501
124	355	2491
125	358	2484
126	360	2476
127	362	2469
128	364	2461
129	366	2453
130	368	2445
131	370	2437
132	372	2430
133	374	2422
134	376	2414
135	379	2409
136	382	2406
137	384	2403
138	387	2400
139	389	2393
140	392	2388
141	394	2383
142	397	2382
143	400	2383
144	403	2381
145	406	2377
146	408	2371
147	410	2364
148	412	2358
149	414	2351
150	416	2344
151	418	2337
152	421	2331
153	423	2324
154	425	2318
155	427	2312
156	429	2306
157	431	2300
158	433	2294
159	437	2295
160	445	2323
161	449	2324
162	452	2322
163	454	2317
164	456	2311
165	459	2306
166	461	2301
167	463	2296
168	465	2290
169	467	2284
170	470	2279
171	472	2273
172	474	2267
173	476	2261
174	478	2256
175	481	2252
176	483	2248
177	486	2245
178	488	2242
179	490	2236
180	492	2230
181	495	2225
182	497	2222
183	499	2216
184	501	2211
185	504	2206
186	506	2202
187	508	2196
188	510	2192
189	512	2186
190	515	2181
191	517	2177
192	519	2173
193	522	2168
194	524	2163
195	526	2159
196	528	2153
197	530	2150
198	532	2145
199	535	2140
200	537	2136
201	539	2131
202	541	2127
203	543	2122
204	546	2117
205	548	2112
206	550	2107
207	552	2103
208	554	2099
209	556	2094
210	558	2089
211	560	2084
212	562	2079
213	565	2075
214	567	2070
215	569	2065
216	571	2060
217	573	2056
218	575	2052
219	577	2047
220	579	2042
221	581	2037
222	584	2035
223	586	2030
224	588	2025
225	590	2022
226	592	2018
227	594	2013
228	596	2009
229	598	2005
230	600	2000
231	603	1996
232	605	1991
233	607	1987
234	609	1982
235	611	1979
236	613	1975
237	615	1970
238	617	1966
239	619	1961
240	621	1957
241	623	1953
242	625	1948
243	627	1944
244	629	1940
245	631	1936
246	633	1932
247	635	1927
248	637	1923
249	639	1919
250	641	1915
251	643	1911
252	645	1906
253	647	1903
254	650	1899
255	652	1895
256	654	1891
257	656	1887
258	658	1883
259	660	1880
260	662	1876
261	664	1872
262	666	1867
263	668	1863
264	670	1860
265	672	1856
266	675	1853
267	681	1862
268	688	1872
269	695	1879
270	698	1878
271	701	1876
272	703	1872
273	705	1869
274	707	1865
275	709	1861
276	711	1857
277	713	1853
278	715	1849
279	718	1846
280	720	1844
281	723	1841
282	726	1840
283	729	1838
284	731	1835
285	734	1834
286	737	1832
287	739	1828
288	741	1824
289	743	1820
290	745	1816
291	747	1813
292	749	1809
293	752	1805
294	754	1802
295	756	1798
296	758	1794
297	760	1790
298	762	1787
299	764	1783
300	766	1780
301	768	1776
302	770	1772
303	772	1768
304	774	1765
305	776	1761
306	778	1758
307	780	1754
308	782	1750
309	785	1748
310	787	1744
311	789	1741
312	791	1737
313	793	1734
314	796	1731
315	798	1727
316	800	1723
317	802	1720
318	804	1717
319	806	1714
320	808	1710
321	810	1707
322	812	1703
323	814	1700
324	816	1696
325	819	1693
326	821	1690
327	823	1687
328	825	1683
329	827	1680
330	829	1676
331	831	1673
332	833	1670
333	835	1666
334	838	1663
335	840	1660
336	842	1657
337	844	1654
338	846	1650
339	848	1647
340	850	1644
341	853	1641
342	855	1637
343	857	1634
344	859	1631
345	861	1627
346	863	1624
347	865	1621
348	867	1617
349	869	1614
350	871	1612
351	873	1608
352	875	1605
353	877	1602
354	881	1601
355	883	1599
356	886	1597
357	890	1596
358	892	1593
359	894	1589
360	896	1586
361	900	1586
362	902	1583
363	904	1580
364	906	1577
365	908	1573
366	910	1570
367	912	1567
368	915	1564
369	919	1565
370	924	1567
371	927	1566
372	933	1568
373	935	1566
374	938	1564
375	942	1564
376	946	1563
377	950	1563
378	952	1561
379	956	1560
380	959	1559
381	963	1558
382	966	1556
383	969	1555
384	973	1554
385	975	1552
386	979	1551
387	982	1549
388	985	1548
389	988	1546
390	992	1545
391	995	1544
392	998	1542
393	1000	1539
394	1002	1535
395	1004	1532
396	1006	1529
397	1009	1526
398	1011	1523
399	1013	1519
400	1015	1516
401	1017	1513
402	1019	1510
403	1021	1507
404	1023	1503
405	1025	1500
406	1027	1497
407	1029	1494
408	1031	1491
409	1033	1487
410	1036	1485
411	1038	1481
412	1040	1478
413	1042	1475
414	1044	1472
415	1046	1469
416	1048	1466
417	1050	1462
418	1052	1459
419	1054	1456
420	1057	1453
421	1059	1450
422	1061	1447
423	1063	1444
424	1065	1441
425	1067	1438
426	1069	1434
427	1071	1431
428	1073	1428
429	1075	1425
430	1077	1422
431	1079	1419
432	1081	1416
433	1084	1414
434	1086	1411
435	1088	1407
436	1090	1404
437	1092	1401
438	1094	1398
439	1096	1395
440	1099	1393
441	1101	1390
442	1103	1387
443	1105	1384
444	1107	1381
445	1110	1378
446	1112	1376
447	1114	1373
448	1116	1370
449	1118	1367
450	1120	1364
451	1122	1361
452	1124	1358
453	1126	1354
454	1128	1351
455	1130	1348
456	1133	1346
457	1135	1343
458	1137	1340
459	1139	1337
460	1141	1334
461	1143	1331
462	1145	1328
463	1147	1325
464	1149	1322
465	1151	1320
466	1154	1317
467	1156	1314
468	1159	1312
469	1164	1313
470	1170	1314
471	1173	1312
472	1177	1311
473	1179	1309
474	1181	1306
475	1184	1303
476	1185	1300
477	1187	1297
478	1190	1294
479	1192	1291
480	1194	1288
481	1196	1285
482	1198	1282
483	1200	1279
484	1202	1276
485	1205	1274
486	1208	1272
487	1210	1269
488	1212	1267
489	1214	1264
490	1216	1261
491	1219	1258
492	1221	1256
493	1223	1253
494	1226	1251
495	1229	1249
496	1231	1246
497	1234	1244
498	1236	1241
499	1238	1238
500	1241	1236
501	1243	1233
502	1246	1231
503	1248	1229
504	1251	1226
505	1253	1223
506	1255	1220
507	1258	1218
508	1260	1215
509	1263	1213
510	1266	1211
511	1268	1208
512	1270	1206
513	1273	1203
514	1276	1201
515	1278	1199
516	1280	1196
517	1283	1194
518	1286	1191
519	1288	1189
520	1290	1186
521	1293	1184
522	1297	1182
523	1299	1180
524	1301	1177
525	1303	1175
526	1306	1172
527	1308	1169
528	1311	1167
529	1313	1165
530	1316	1162
531	1318	1159
532	1321	1157
533	1323	1155
534	1326	1152
535	1328	1149
536	1330	1147
537	1333	1144
538	1335	1142
539	1337	1139
540	1339	1136
541	1342	1134
542	1344	1131
543	1347	1129
544	1349	1126
545	1351	1124
546	1354	1121
547	1356	1118
548	1358	1116
549	1361	1113
550	1363	1111
551	1365	1108
552	1367	1105
553	1369	1102
554	1371	1100
555	1374	1097
556	1376	1094
557	1378	1091
558	1381	1089
559	1383	1086
560	1385	1084
561	1387	1081
562	1390	1078
563	1392	1076
564	1394	1073
565	1396	1070
566	1398	1067
567	1404	1068
568	1410	1068
569	1415	1067
570	1420	1067
571	1422	1064
572	1424	1061
573	1426	1058
574	1428	1056
575	1431	1053
576	1433	1050
577	1435	1047
578	1437	1044
579	1439	1042
580	1441	1039
581	1443	1036
582	1445	1033
583	1447	1031
584	1449	1028
585	1451	1025
586	1453	1022
587	1455	1020
588	1458	1017
589	1460	1014
590	1462	1012
591	1465	1009
592	1468	1007
593	1470	1004
594	1472	1002
595	1474	999
596	1476	996
597	1478	994
598	1480	991
599	1482	988
600	1484	985
601	1486	983
602	1489	980
603	1491	977
604	1493	974
605	1495	972
606	1497	969
607	1499	966
608	1501	964
609	1503	961
610	1505	958
611	1507	955
612	1509	953
613	1512	950
614	1514	947
615	1516	945
616	1518	942
617	1520	939
618	1522	937
619	1524	934
620	1526	931
621	1528	929
622	1530	926
623	1532	923
624	1535	921
625	1537	918
626	1539	915
627	1541	913
628	1543	910
629	1545	907
630	1547	905
631	1549	902
632	1551	899
633	1553	896
634	1555	894
635	1557	891
636	1559	888
637	1562	886
638	1564	883
639	1566	880
640	1568	878
641	1570	875
642	1572	873
643	1574	870
644	1576	867
645	1578	865
646	1580	862
647	1583	860
648	1585	857
649	1588	855
650	1590	852
651	1592	850
652	1594	847
653	1596	844
654	1599	842
655	1601	839
656	1603	836
657	1605	834
658	1607	831
659	1609	829
660	1611	826
661	1613	823
662	1615	821
663	1617	818
664	1619	816
665	1622	813
666	1623	810
667	1625	808
668	1627	805
669	1630	802
670	1632	800
